symbol,total_return,annualized_return,volatility,sharpe,max_drawdown,days_above_50ma,days_above_200ma,oversold_days,overbought_days,mean_reversion_score,trading_days,momentum_score,stability_score,composite_score
NVDA,2944.6746031327752,135.59109214143987,53.690321757940886,1.3696414412018956,-66.33509008833096,67.44505494505495,68.68131868131869,73,320,393,1456,61.36260904381813,84.98729407686407,154.68356917095025
AMZN,125.99460172920244,22.69546627064447,35.78497508255173,0.5734078992419783,-56.14526325328263,59.27197802197802,56.66208791208791,137,204,341,1456,40.58216897385056,94.81985591463456,106.14726175627543
ORCL,532.941973825935,58.86526750502239,38.465575163839354,1.0166491877205306,-40.364816504873914,66.00274725274726,67.17032967032966,125,308,433,1456,53.56787386430072,104.05037932948272,141.14001827669347
MSFT,234.84277639040326,35.4131429332532,29.843664553188916,0.850663691218834,-37.148481290167965,63.46153846153846,63.46153846153846,105,272,377,1456,48.74404305514591,101.34759163151047,120.91667412282183
NFLX,258.8702509268346,37.78780683643013,44.015920101094565,0.7303452504592877,-75.94731823071552,64.01098901098901,67.9945054945055,120,263,383,1456,47.409102811383555,85.01838083409496,119.16274906116311
DIS,-24.62093500413527,-6.844756737083735,33.54328272947827,0.021155527579686674,-60.715165990313935,41.277472527472526,41.00274725274725,213,206,419,1456,21.00690176038494,91.41405836958216,106.3314551809068
AMD,377.7189508106038,48.03901889462423,53.907649124614686,0.7692220725608797,-65.44994295506879,53.2967032967033,51.78571428571429,148,253,401,1456,41.73059529737144,85.32120396015826,124.19512504963035
AVGO,1174.4424503651219,89.35596598671285,43.70431444497059,1.2267236842383575,-48.29995771327282,70.12362637362637,76.37362637362637,71,228,299,1456,60.84628687158033,98.9978639208783,124.66024864166363
TSM,454.2842668431321,53.6638267970456,39.21985110698927,0.9519419770949694,-56.46656253805976,61.19505494505495,61.81318681318682,124,239,363,1456,49.75999338805324,96.37664428446476,122.9024749124226
QCOM,110.24274659731273,20.49175129174612,41.09949715759145,0.5183816242445991,-44.28842586960543,54.670329670329664,43.06318681318682,98,187,285,1456,35.38136874862825,102.30603848640156,94.22314370939263
MU,274.59989225989284,39.27857967428952,49.43184492174627,0.7105902926342048,-57.62896784799835,54.807692307692314,52.26648351648352,123,227,350,1456,41.107410248288495,91.46959361512769,112.40971569979894
GOOGL,269.98325164957777,38.845979915815974,32.524723873249044,0.8595439561792061,-44.32003937431749,64.90384615384616,62.637362637362635,104,272,376,1456,49.18950549721049,99.10234224946578,121.4311140738011
META,241.52908523681512,36.08644847435707,44.12202520389768,0.7049882075203752,-76.73609423337963,61.126373626373635,65.17857142857143,119,260,379,1456,45.47339052403388,84.57094028136135,117.18213975578955
AAPL,241.12905549881836,36.04644488693172,32.21951583468702,0.8204005192897477,-33.360516168821135,59.27197802197802,63.530219780219774,129,284,413,1456,46.89564774843231,104.42949983293295,128.3685277571958
CRM,48.86382974597723,10.495766593513899,39.05149116882655,0.371182124063779,-58.61724336640918,53.2967032967033,48.35164835164835,179,231,410,1456,33.08298314061624,95.21712390120868,114.11704970048078
ADBE,-1.554878989126529,-0.39234717963689825,37.926050679564895,0.18443299612721298,-60.021498008468335,50.137362637362635,39.6978021978022,189,273,462,1456,26.66942915331349,93.95227633554828,119.07357985921264
NOW,207.13158227842797,32.51025672650205,42.39464896295125,0.6697562231534466,-51.297504841202304,59.40934065934066,57.829670329670336,95,250,345,1456,42.783860726805194,98.15392309792321,111.21901985557682
SNOW,-5.462133468769381,-1.5925036780330415,61.32699150981483,0.2843162401699397,-72.98763502408511,49.76525821596244,42.09702660406886,142,183,325,1278,29.035307589001295,77.84268673305003,88.80137851990048
DDOG,311.90734339602636,42.63552309482612,57.5445458551198,0.7107035191743334,-68.10643090895371,51.64835164835166,51.64835164835166,130,271,401,1456,40.038246207662496,82.17451161796325,121.43703311433924
TSLA,1394.7357403846097,97.08314665595788,67.23125355864055,1.0317864081223407,-73.63221744219119,57.348901098901095,52.9532967032967,168,292,460,1456,48.43105783277649,74.56826449958413,150.56791424653713
SHOP,283.9288249916234,40.14069559604834,65.78610725719723,0.6803060717060346,-84.81604137761974,57.21153846153846,60.23351648351648,146,240,386,1456,42.81628626928553,69.69892568259152,116.02687969611847
PLTR,1774.9473170230265,132.64145835010385,71.50940061798359,1.1638291503032545,-84.61538461538461,54.73186119873817,54.02208201892744,139,249,388,1268,50.500557769472024,66.9376073833159,145.93012631253595
IBM,174.41898291835346,28.818999967007407,27.290069379824196,0.7776943093811963,-38.9800994503755,58.85989010989011,70.67307692307693,159,336,495,1456,47.34646860520635,99.15498496472435,141.68063756460901
CSCO,69.80058411723147,14.204233036684165,26.86546001358458,0.4764329842254009,-36.6750505230593,59.75274725274725,59.2032967032967,146,227,373,1456,39.29514320099153,100.09520474526263,110.66885382035525
INTC,-31.353789756633756,-9.005765842906177,47.365854782627565,0.10023498975784767,-70.7973108068501,43.956043956043956,32.62362637362637,219,163,382,1456,21.716238256695412,85.91841720526116,97.39682516518901
